strategy,fold,MAE,RMSE,R2,bias,pred_actual_mean_ratio,scale,year1_scale,year2_scale,window,fold_multiplier,w
horizon_scale,C,790719.3885886655,1088916.6254507562,0.6190104159093086,-278653.6552065813,0.9124324805733142,,1.05,0.95,,,
horizon_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,,1.05,0.95,,,
horizon_scale,C,769547.8351636197,1059191.5672919103,0.6395268892340542,-227600.73928244965,0.9284759708467903,,1.05,1.0,,,
horizon_scale,D,653293.8316575342,884897.5154162116,0.7205052326795689,-207664.5448109588,0.9352018511986961,,1.05,1.0,,,
recent_level,C,1521139.8127909137,2013131.6878963665,-0.30217158807323874,1301923.2034594049,1.4091322086784228,,,,14.0,1.5664990294190955,
recent_level,C,791110.9420054186,1078478.1207612152,0.6262798424515545,67172.41881592495,1.0211090792447715,,,,30.0,1.135142871418814,
recent_level,C,818364.3559801767,1111653.6675529017,0.6029338584456267,158474.1426980636,1.0498008452788898,,,,60.0,1.167038830767383,
recent_level,C,1117054.6510474766,1507425.9124970094,0.2698773887783956,758019.8732152926,1.2382093998529624,,,,90.0,1.3764881755888618,
recent_level,D,1522603.0728107356,1945875.6548473143,-0.3515057545358373,1413028.9990348956,1.4409113911253892,,,,14.0,1.6177865331879149,
recent_level,D,785903.3004970482,1063487.6384057342,0.5963056953172747,411524.444020664,1.128409123393208,,,,30.0,1.2669239031597423,
recent_level,D,805797.2186967786,1089656.5986918318,0.576194062937915,451437.44473164243,1.1408632886505987,,,,60.0,1.2809068454555677,
recent_level,D,1028659.6027621133,1371982.783678071,0.3281303035986678,811921.9581365994,1.253346279723745,,,,90.0,1.4071973788579764,
ensemble,C,984030.925191956,1329234.7901667564,0.4322890845378662,99529.88186471668,1.0312774826415354,,,,,,0.0
ensemble,D,736439.6315068493,1007105.6190114199,0.6379756618971549,-382430.8988493151,0.8806690168877273,,,,,,0.0
ensemble,C,952543.5738592322,1283359.8674567032,0.4707988811924585,57609.68341316283,1.0181039687697884,,,,,,0.1
ensemble,D,725766.0561397261,992968.4106785998,0.6480681317030799,-379226.29570684925,0.8816689581702591,,,,,,0.1
ensemble,C,922890.852310786,1240599.749435656,0.505476170567922,15689.484961608945,1.0049304548980413,,,,,,0.2
ensemble,D,715825.8428438356,979892.4124847117,0.6572759985559598,-376021.69256438344,0.8826688994527907,,,,,,0.2
ensemble,C,894107.0730329067,1201287.0989458088,0.5363209526642565,-26230.713489945345,0.9917569410262939,,,,,,0.3
ensemble,D,706390.1910767123,967920.6342272838,0.6655992624557949,-372817.089421918,0.8836688407353223,,,,,,0.3
ensemble,C,866254.5263400365,1165770.7393737258,0.5633332274814618,-68150.91194149911,0.9785834271545466,,,,,,0.4
ensemble,D,698465.9213698631,957094.5130754329,0.6730379234025853,-369612.4862794521,0.8846687820178538,,,,,,0.4
ensemble,C,841021.5723857405,1134407.2929767286,0.586512995019538,-110071.11039305302,0.9654099132827995,,,,,,0.5
ensemble,D,692025.5177397261,947453.3225618909,0.6795919813963309,-366407.88313698635,0.8856687233003857,,,,,,0.5
ensemble,C,816915.7729469836,1107549.6209335795,0.6058602552784851,-151991.30884460697,0.9522363994110521,,,,,,0.6
ensemble,D,687153.3354356164,939033.5609478225,0.6852614364370319,-363203.2799945206,0.8866686645829173,,,,,,0.6
ensemble,C,796103.3818117002,1085532.2133377441,0.6213750082583033,-193911.5072961609,0.9390628855393048,,,,,,0.7
ensemble,D,684028.269191781,931868.336954016,0.6900462885246881,-359998.67685205484,0.8876686058654488,,,,,,0.7
ensemble,C,779139.8318318098,1068654.282941994,0.6330572539589925,-235831.70574771485,0.9258893716675576,,,,,,0.8
ensemble,D,682895.2957589041,925986.773624145,0.6939465376592994,-356794.073709589,0.8886685471479805,,,,,,0.8
ensemble,C,767612.7377568556,1057162.0186135585,0.6409069923805525,-277751.9041992687,0.9127158577958105,,,,,,0.9
ensemble,D,682780.0778273973,921413.4528617312,0.696962183840866,-353589.4705671234,0.8896684884305122,,,,,,0.9
ensemble,C,763120.1262340037,1051232.0665012174,0.6449242235229834,-319672.10265082266,0.8995423439240632,,,,,,1.0
ensemble,D,683628.8723013699,918167.923628688,0.6990932270693878,-350384.86742465757,0.8906684297130439,,,,,,1.0
ensemble_scale,C,1088844.2310438757,1422489.5246381902,0.34983737652910996,-884976.3892449727,0.7218942378490749,0.7,,,,,0.0
ensemble_scale,D,1268562.384561644,1565258.011961787,0.12550042860891397,-1229139.0251041097,0.6164683118214092,0.7,,,,,0.0
ensemble_scale,C,1048662.3721604203,1377616.1942917535,0.3902099632957041,-802934.199985832,0.7476761749151133,0.725,,,,,0.0
ensemble_scale,D,1208112.632132192,1502984.37972089,0.19369999188805342,-1158580.0145828768,0.6384850372436023,0.725,,,,,0.0
ensemble_scale,C,1015074.2899314442,1338332.4424876138,0.42449134804426225,-720892.0107266911,0.7734581119811516,0.75,,,,,0.0
ensemble_scale,D,1149568.8178150684,1442524.6796348002,0.2572644108329286,-1088021.0040616437,0.6605017626657955,0.75,,,,,0.0
ensemble_scale,C,987649.4453121572,1305143.0922413396,0.45268153077478457,-638849.8214675502,0.7992400490471901,0.775,,,,,0.0
ensemble_scale,D,1093081.4142595888,1384116.6356279552,0.31619368544353965,-1017461.9935404108,0.6825184880879888,0.775,,,,,0.0
ensemble_scale,C,966833.9561133455,1278522.8479015017,0.47478051148727085,-556807.6322084094,0.8250219861132283,0.8,,,,,0.0
ensemble_scale,D,1038373.1023068492,1328030.9765531404,0.37048781571988665,-946902.983019178,0.7045352135101819,0.8,,,,,0.0
ensemble_scale,C,952112.6710617001,1258888.5060868196,0.490788290181721,-474765.4429492689,0.8508039231792669,0.825,,,,,0.0
ensemble_scale,D,985659.4600664385,1274574.3180934559,0.4201468016619694,-876343.9724979454,0.7265519389323751,0.825,,,,,0.0
ensemble_scale,C,941808.693214808,1246570.2088848823,0.5007048668581353,-392723.25369012804,0.8765858602453052,0.85,,,,,0.0
ensemble_scale,D,937444.1213794521,1224091.1379461007,0.4651706432697882,-805784.9619767123,0.7485686643545683,0.85,,,,,0.0
ensemble_scale,C,937858.8929227606,1241785.6970393688,0.5045302415165137,-310681.0644309872,0.9023677973113436,0.875,,,,,0.0
